,X,Y,Z
308,172.61,42.308,
309,172.86,43.013,
310,173.034,43.741,
311,173.129,44.483,
312,173.148,44.974,
313,173.153,46.363,
314,173.146,47.542,
315,173.101,48.288,
316,172.978,49.026,
317,172.776,49.746,
318,172.498,50.441,
319,172.148,51.102,
320,171.729,51.722,
321,171.247,52.294,
322,170.706,52.811,
323,170.114,53.267,
324,169.475,53.657,
325,168.799,53.978,
326,168.093,54.224,
327,167.364,54.393,
328,166.622,54.484,
329,166.146,54.5,
330,163.68,54.5,
331,162.933,54.46,
332,162.195,54.341,
333,161.473,54.143,
334,160.777,53.87,
335,160.114,53.523,
336,159.491,53.108,
337,158.917,52.629,
338,158.396,52.092,
339,157.937,51.502,
340,157.542,50.866,
341,157.218,50.192,
342,156.968,49.487,
343,156.794,48.759,
344,156.699,48.017,
345,156.68,47.539,
346,156.671,45.844,
347,156.676,44.96,
348,156.72,44.214,
349,156.844,43.476,
350,157.046,42.756,
351,157.445,42.824,
352,157.722,42.152,
353,158.071,41.515,
354,158.488,40.921,
355,158.967,40.375,
356,159.504,39.886,
357,160.091,39.458,
358,160.722,39.098,
359,161.389,38.809,
360,162.083,38.595,
361,162.796,38.459,
362,163.676,38.4,
363,166.148,38.4,
364,166.873,38.44,
365,167.59,38.559,
366,168.289,38.757,
367,168.962,39.03,
368,169.601,39.375,
369,170.198,39.789,
370,170.746,40.265,
371,171.239,40.799,
372,171.669,41.384,
373,172.033,42.013,
374,172.326,42.678,
375,172.544,43.371,
376,172.684,44.083,
377,172.748,44.975,
378,172.753,46.36,
379,172.746,47.539,
380,172.702,48.264,
381,172.578,48.98,
382,172.376,49.678,
383,172.099,50.349,
384,171.75,50.986,
385,171.333,51.581,
386,170.853,52.126,
387,170.316,52.615,
388,169.729,53.043,
389,169.098,53.403,
390,168.432,53.692,
391,167.737,53.905,
392,167.024,54.041,
393,166.146,54.1,
394,163.68,54.1,
395,162.955,54.06,
396,162.238,53.941,
397,161.539,53.743,
398,160.866,53.47,
399,160.227,53.125,
400,159.63,52.711,
401,159.082,52.235,
402,158.589,51.701,
403,158.159,51.116,
404,157.795,50.487,
405,157.502,49.822,
406,157.284,49.129,
407,157.144,48.417,
408,157.08,47.537,
